dataset,rows,cols,nnzs,merge-path,thread-mapped,group-mapped,minimum,elapsed,cusparse,speed-up,kernel,oracle-speed-up-kernel,oracle-speed-up
adder_dcop_33,1813,1813,11246,0.019043,0.0668945,0.0512,0.019043,0.019043,0.052002,2.730767211,merge-path,merge-path,2.730767211
adder_dcop_34,1813,1813,11246,0.019043,0.0639648,0.050176,0.019043,0.019043,0.052002,2.730767211,merge-path,merge-path,2.730767211
adder_dcop_35,1813,1813,11246,0.0200195,0.0629883,0.053248,0.0200195,0.0200195,0.052002,2.597567372,merge-path,merge-path,2.597567372
adder_dcop_36,1813,1813,11246,0.0187988,0.0661621,0.052224,0.0187988,0.0187988,0.0500488,2.662340149,merge-path,merge-path,2.662340149
adder_dcop_37,1813,1813,11246,0.0178223,0.0651855,0.094208,0.0178223,0.0178223,0.0510254,2.863008703,merge-path,merge-path,2.863008703
adder_dcop_38,1813,1813,11246,0.0200195,0.0600586,0.072704,0.0200195,0.0200195,0.052002,2.597567372,merge-path,merge-path,2.597567372
adder_dcop_39,1813,1813,11246,0.0200195,0.0639648,0.0512,0.0200195,0.0200195,0.052002,2.597567372,merge-path,merge-path,2.597567372
adder_dcop_40,1813,1813,11246,0.019043,0.0639648,0.0512,0.019043,0.019043,0.0539551,2.833329832,merge-path,merge-path,2.833329832
adder_dcop_41,1813,1813,11246,0.019043,0.0639648,0.0512,0.019043,0.019043,0.0449219,2.358971801,merge-path,merge-path,2.358971801
adder_dcop_42,1813,1813,11246,0.0200195,0.059082,0.0512,0.0200195,0.0200195,0.0500488,2.500002498,merge-path,merge-path,2.500002498
adder_dcop_43,1813,1813,11246,0.019043,0.0651855,0.205824,0.019043,0.019043,0.0498047,2.61538098,merge-path,merge-path,2.61538098
adder_dcop_44,1813,1813,11245,0.0187988,0.0671387,0.052224,0.0187988,0.0187988,0.0510254,2.714290274,merge-path,merge-path,2.714290274
adder_dcop_45,1813,1813,11246,0.019043,0.0649414,0.052224,0.019043,0.019043,0.046875,2.461534422,merge-path,merge-path,2.461534422
adder_dcop_46,1813,1813,11246,0.0180664,0.0678711,0.0512,0.0180664,0.0180664,0.0539551,2.98648873,merge-path,merge-path,2.98648873
adder_dcop_47,1813,1813,11246,0.019043,0.065918,0.105472,0.019043,0.019043,0.052002,2.730767211,merge-path,merge-path,2.730767211
adder_dcop_48,1813,1813,11246,0.019043,0.0639648,0.050208,0.019043,0.019043,0.0529785,2.782045896,merge-path,merge-path,2.782045896
adder_dcop_49,1813,1813,11246,0.019043,0.0639648,0.0512,0.019043,0.019043,0.0500488,2.628199338,merge-path,merge-path,2.628199338
adder_dcop_50,1813,1813,11246,0.019043,0.0639648,0.064512,0.019043,0.019043,0.0439453,2.307687864,merge-path,merge-path,2.307687864
adder_dcop_51,1813,1813,11246,0.019043,0.0639648,0.050176,0.019043,0.019043,0.0490723,2.576920653,merge-path,merge-path,2.576920653
adder_dcop_52,1813,1813,11246,0.019043,0.0639648,0.0512,0.019043,0.019043,0.0449219,2.358971801,merge-path,merge-path,2.358971801
adder_dcop_53,1813,1813,11246,0.019043,0.0649414,0.052224,0.019043,0.019043,0.052002,2.730767211,merge-path,merge-path,2.730767211
adder_dcop_54,1813,1813,11246,0.0187988,0.0678711,0.052224,0.0187988,0.0187988,0.0529785,2.818185203,merge-path,merge-path,2.818185203
adder_dcop_55,1813,1813,11246,0.0178223,0.0649414,0.052224,0.0178223,0.0178223,0.0490723,2.753421276,merge-path,merge-path,2.753421276
adder_dcop_56,1813,1813,11246,0.019043,0.0639648,0.0512,0.019043,0.019043,0.0500488,2.628199338,merge-path,merge-path,2.628199338
adder_dcop_57,1813,1813,11246,0.0200195,0.0649414,0.0512,0.0200195,0.0200195,0.0510254,2.548784935,merge-path,merge-path,2.548784935
adder_dcop_58,1813,1813,11246,0.0187988,0.0649414,0.089088,0.0187988,0.0187988,0.0500488,2.662340149,merge-path,merge-path,2.662340149
adder_dcop_59,1813,1813,11246,0.019043,0.065918,0.052224,0.019043,0.019043,0.0498047,2.61538098,merge-path,merge-path,2.61538098
adder_dcop_60,1813,1813,11246,0.0187988,0.0639648,0.0512,0.0187988,0.0187988,0.052002,2.766240398,merge-path,merge-path,2.766240398
adder_dcop_61,1813,1813,11246,0.019043,0.0639648,0.093184,0.019043,0.019043,0.0500488,2.628199338,merge-path,merge-path,2.628199338
adder_dcop_62,1813,1813,11246,0.0180664,0.0639648,0.05632,0.0180664,0.0180664,0.0529785,2.932432582,merge-path,merge-path,2.932432582
adder_dcop_63,1813,1813,11246,0.0178223,0.0639648,0.051232,0.0178223,0.0178223,0.0500488,2.808212184,merge-path,merge-path,2.808212184
adder_dcop_64,1813,1813,11246,0.0180664,0.0639648,0.0512,0.0180664,0.0180664,0.0529785,2.932432582,merge-path,merge-path,2.932432582
adder_dcop_65,1813,1813,11246,0.0200195,0.0639648,0.052224,0.0200195,0.0200195,0.0510254,2.548784935,merge-path,merge-path,2.548784935
adder_dcop_66,1813,1813,11246,0.0219727,0.0649414,0.0512,0.0219727,0.0219727,0.0500488,2.277771962,merge-path,merge-path,2.277771962
adder_dcop_67,1813,1813,11246,0.019043,0.0600586,0.0512,0.019043,0.019043,0.0539551,2.833329832,merge-path,merge-path,2.833329832
adder_dcop_68,1813,1813,11246,0.0187988,0.0688477,0.089056,0.0187988,0.0187988,0.0559082,2.974030257,merge-path,merge-path,2.974030257
adder_dcop_69,1813,1813,11246,0.0187988,0.0598145,0.0512,0.0187988,0.0187988,0.0490723,2.610395344,merge-path,merge-path,2.610395344
adder_trans_01,1814,1814,14579,0.0180664,0.072998,0.093184,0.0180664,0.0180664,0.0478516,2.648651641,merge-path,merge-path,2.648651641
adder_trans_02,1814,1814,14579,0.019043,0.0739746,0.053248,0.019043,0.019043,0.0500488,2.628199338,merge-path,merge-path,2.628199338
adjnoun,112,112,850,0.0180664,0.0129395,,0.0129395,0.0129395,0.0361328,2.792441748,group-mapped,thread-mapped,2.792441748
af_0_k101,503625,503625,17550675,0.24707,0.98584,0.618496,0.24707,0.24707,0.269043,1.08893431,merge-path,merge-path,1.08893431
af_1_k101,503625,503625,17550675,0.245117,0.976074,0.618496,0.245117,0.245117,0.26709,1.089642905,merge-path,merge-path,1.089642905
af_2_k101,503625,503625,17550675,0.245117,0.971924,0.62976,0.245117,0.245117,0.264893,1.080679839,merge-path,merge-path,1.080679839
af_3_k101,503625,503625,17550675,0.246826,0.98291,0.734208,0.246826,0.246826,0.267822,1.085063972,merge-path,merge-path,1.085063972
af_4_k101,503625,503625,17550675,0.245117,0.98291,0.630784,0.245117,0.245117,0.270996,1.105578152,merge-path,merge-path,1.105578152
af_5_k101,503625,503625,17550675,0.24707,0.961914,0.631808,0.24707,0.24707,0.269043,1.08893431,merge-path,merge-path,1.08893431
af_shell1,504855,504855,17588875,0.245117,0.980957,0.61952,0.245117,0.245117,0.270996,1.105578152,merge-path,merge-path,1.105578152
af_shell10,1508065,1508065,52672325,0.651855,2.96899,1.62608,0.651855,0.651855,0.701904,1.076779345,merge-path,merge-path,1.076779345
af_shell2,504855,504855,17588875,0.24292,0.98291,0.62976,0.24292,0.24292,0.269043,1.107537461,merge-path,merge-path,1.107537461
af_shell3,504855,504855,17588875,0.244141,0.967041,0.61952,0.244141,0.244141,0.27002,1.106000221,merge-path,merge-path,1.106000221
af_shell4,504855,504855,17588875,0.24707,0.970947,0.626688,0.24707,0.24707,0.270996,1.096838953,merge-path,merge-path,1.096838953
af_shell5,504855,504855,17588875,0.24707,0.981934,0.632832,0.24707,0.24707,0.27002,1.092888655,merge-path,merge-path,1.092888655
