kernel,dataset,rows,cols,nnzs,elapsed
thread-mapped,as-735_G_008,7716,7716,10723,0.0368652
thread-mapped,as-735_G_009,7716,7716,10813,0.0361328
thread-mapped,as-735_G_010,7716,7716,10809,0.0361328
thread-mapped,as-735_G_011,7716,7716,10866,0.0368652
thread-mapped,as-735_G_012,7716,7716,10867,0.0371094
thread-mapped,as-735_G_013,7716,7716,10925,0.0380859
thread-mapped,as-735_G_014,7716,7716,10949,0.0380859
thread-mapped,as-735_G_015,7716,7716,10919,0.0380859
thread-mapped,as-735_G_016,7716,7716,10881,0.0371094
thread-mapped,as-735_G_017,7716,7716,10913,0.0380859
thread-mapped,as-735_G_018,7716,7716,10926,0.0400391
thread-mapped,as-735_G_019,7716,7716,10968,0.0380859
thread-mapped,as-735_G_020,7716,7716,11066,0.0388184
thread-mapped,as-735_G_021,7716,7716,11089,0.0380859
thread-mapped,as-735_G_022,7716,7716,11076,0.0371094
thread-mapped,as-735_G_023,7716,7716,11086,0.0378418
thread-mapped,as-735_G_024,7716,7716,11101,0.0378418
thread-mapped,as-735_G_025,7716,7716,10924,0.0378418
thread-mapped,as-735_G_026,7716,7716,11153,0.0390625
thread-mapped,as-735_G_027,7716,7716,11133,0.0390625
thread-mapped,as-735_G_028,7716,7716,11548,0.0380859
thread-mapped,as-735_G_029,7716,7716,11586,0.0368652
thread-mapped,as-735_G_030,7716,7716,11603,0.0378418
thread-mapped,as-735_G_031,7716,7716,11593,0.0390625
thread-mapped,as-735_G_032,7716,7716,11597,0.0390625
thread-mapped,as-735_G_033,7716,7716,11639,0.0371094
thread-mapped,as-735_G_034,7716,7716,11671,0.0380859
thread-mapped,as-735_G_035,7716,7716,11750,0.0410156
thread-mapped,as-735_G_036,7716,7716,11739,0.0390625
thread-mapped,as-735_G_037,7716,7716,11722,0.0368652
thread-mapped,as-735_G_038,7716,7716,11699,0.0380859
thread-mapped,as-735_G_039,7716,7716,11711,0.0380859
thread-mapped,as-735_G_040,7716,7716,11787,0.0390625
thread-mapped,as-735_G_041,7716,7716,11787,0.0380859
thread-mapped,as-735_G_042,7716,7716,11764,0.0390625
thread-mapped,as-735_G_043,7716,7716,11780,0.0390625
thread-mapped,as-735_G_044,7716,7716,11755,0.0380859
thread-mapped,as-735_G_045,7716,7716,11797,0.0368652
thread-mapped,as-735_G_046,7716,7716,11823,0.0378418
thread-mapped,as-735_G_047,7716,7716,11851,0.0390625
thread-mapped,as-735_G_048,7716,7716,11880,0.0358887
thread-mapped,as-735_G_049,7716,7716,11868,0.0390625
thread-mapped,as-735_G_050,7716,7716,11880,0.0368652
thread-mapped,as-735_G_051,7716,7716,11896,0.0390625
thread-mapped,as-735_G_052,7716,7716,11936,0.0400391
thread-mapped,as-735_G_053,7716,7716,11848,0.0390625
thread-mapped,as-735_G_054,7716,7716,11834,0.0390625
thread-mapped,as-735_G_055,7716,7716,11710,0.0400391
thread-mapped,as-735_G_056,7716,7716,11876,0.0397949
thread-mapped,as-735_G_057,7716,7716,11886,0.0368652
thread-mapped,as-735_G_058,7716,7716,11868,0.0390625
thread-mapped,as-735_G_059,7716,7716,11756,0.0400391
thread-mapped,as-735_G_060,7716,7716,12014,0.0400391
thread-mapped,as-735_G_061,7716,7716,11883,0.0390625
thread-mapped,as-735_G_062,7716,7716,11807,0.0380859
thread-mapped,as-735_G_063,7716,7716,11752,0.0390625
thread-mapped,as-735_G_064,7716,7716,11711,0.0390625
thread-mapped,as-735_G_065,7716,7716,11772,0.0390625
