kernel,dataset,rows,cols,nnzs,elapsed
merge-path,cat_ears_2_1,85,85,254,0.013916
merge-path,cat_ears_2_4,1009,2689,7982,0.0170898
merge-path,cat_ears_3_1,204,181,542,0.0170898
merge-path,cat_ears_3_4,5226,13271,39592,0.0200195
merge-path,cat_ears_4_1,377,313,938,0.0200195
merge-path,cat_ears_4_4,19020,44448,132888,0.0209961
merge-path,cavity01,317,317,7327,0.0200195
merge-path,cavity02,317,317,7327,0.019043
merge-path,cavity03,317,317,7327,0.019043
merge-path,cavity04,317,317,7327,0.0187988
merge-path,cavity05,1182,1182,32747,0.0200195
merge-path,cavity06,1182,1182,32747,0.019043
merge-path,cavity07,1182,1182,32747,0.019043
merge-path,cavity08,1182,1182,32747,0.0200195
merge-path,cavity09,1182,1182,32747,0.0187988
merge-path,cavity10,2597,2597,76367,0.0209961
merge-path,cavity11,2597,2597,76367,0.0200195
merge-path,cavity12,2597,2597,76367,0.0209961
merge-path,cavity13,2597,2597,76367,0.0200195
merge-path,cavity14,2597,2597,76367,0.0219727
merge-path,cavity15,2597,2597,76367,0.0187988
merge-path,cavity16,4562,4562,138187,0.0219727
merge-path,cavity17,4562,4562,138187,0.0209961
merge-path,cavity18,4562,4562,138187,0.0209961
merge-path,cavity19,4562,4562,138187,0.0209961
merge-path,cavity20,4562,4562,138187,0.0209961
merge-path,cavity21,4562,4562,138187,0.0209961
merge-path,cavity22,4562,4562,138187,0.0209961
merge-path,cavity23,4562,4562,138187,0.0209961
merge-path,cavity24,4562,4562,138187,0.0209961
merge-path,cavity25,4562,4562,138187,0.0200195
merge-path,cavity26,4562,4562,138187,0.0209961
merge-path,cbuckle,13681,13681,676515,0.0290527
merge-path,cbuckle_G,13681,13681,514896,0.0280762
merge-path,cca,49152,49152,139264,0.0219727
merge-path,cca_G_01,24,24,56,0.0148926
merge-path,cca_G_02,64,64,160,0.0161133
merge-path,cca_G_03,160,160,416,0.0148926
merge-path,cca_G_04,384,384,1024,0.019043
merge-path,cca_G_05,896,896,2432,0.0219727
merge-path,cca_G_06,2048,2048,5632,0.019043
merge-path,cca_G_07,4608,4608,12800,0.0200195
merge-path,cca_G_08,10240,10240,28672,0.0200195
merge-path,cca_G_09,22528,22528,63488,0.0209961
merge-path,cca_G_10,49152,49152,139264,0.0209961
merge-path,ccc,49152,49152,147456,0.0219727
merge-path,ccc_G_01,24,24,72,0.0148926
merge-path,ccc_G_02,64,64,192,0.0161133
merge-path,ccc_G_03,160,160,480,0.0151367
merge-path,ccc_G_04,384,384,1152,0.0200195
merge-path,ccc_G_05,896,896,2688,0.0200195
merge-path,ccc_G_06,2048,2048,6144,0.0200195
merge-path,ccc_G_07,4608,4608,13824,0.0197754
merge-path,ccc_G_08,10240,10240,30720,0.0209961
merge-path,ccc_G_09,22528,22528,67584,0.0209961
merge-path,ccc_G_10,49152,49152,147456,0.0239258
merge-path,cdde1,961,961,4681,0.0200195
merge-path,cdde2,961,961,4681,0.0180664
merge-path,cdde3,961,961,4681,0.019043
merge-path,cdde4,961,961,4681,0.0180664
merge-path,cdde5,961,961,4681,0.0180664
merge-path,cdde6,961,961,4681,0.0200195
merge-path,cegb2802,2802,2802,277362,0.0229492
merge-path,cegb2919,2919,2919,321543,0.0239258
merge-path,cegb3024,3024,3024,79848,0.0200195
merge-path,cegb3306,3306,3306,74916,0.019043
merge-path,celegans_metabolic,453,453,4065,0.0168457
merge-path,celegansneural,297,297,2345,0.0180664
merge-path,cell1,7055,7055,34855,0.0197754
merge-path,cell2,7055,7055,34855,0.0209961
merge-path,cep1,1521,4769,8233,0.019043
merge-path,cfd1,70656,70656,1828364,0.0510254
merge-path,cfd2,123440,123440,3087898,0.0720215
merge-path,ch,3700,8291,24102,0.0168457
merge-path,ch3-3-b1,18,9,36,0.0141602
merge-path,ch3-3-b2,6,18,18,0.0141602
merge-path,ch4-4-b1,72,16,144,0.0148926
merge-path,ch4-4-b2,96,72,288,0.0141602
merge-path,ch4-4-b3,24,96,96,0.013916
merge-path,ch5-5-b1,200,25,400,0.0161133
merge-path,ch5-5-b2,600,200,1800,0.0197754
merge-path,ch5-5-b3,600,600,2400,0.019043
merge-path,ch5-5-b4,120,600,600,0.013916
merge-path,ch6-6-b1,450,36,900,0.0178223
merge-path,ch6-6-b2,2400,450,7200,0.019043
merge-path,ch6-6-b3,5400,2400,21600,0.032959
merge-path,ch6-6-b4,4320,5400,21600,0.0187988
merge-path,ch6-6-b5,720,4320,4320,0.019043
merge-path,ch7-6-b1,630,42,1260,0.019043
merge-path,ch7-6-b2,4200,630,12600,0.019043
merge-path,ch7-6-b3,12600,4200,50400,0.019043
