kernel,dataset,rows,cols,nnzs,elapsed
cusparse,power197k,197156,197156,3698357,0.11499
cusparse,dawson5,51537,51537,1010777,0.0710449
cusparse,aug3dcqp,35543,35543,128115,0.0568848
cusparse,sit100,10262,10262,61046,0.0498047
cusparse,c-62ghs,41731,41731,559343,0.0629883
cusparse,exdata_1,6001,6001,2269501,0.092041
cusparse,c-71,76638,76638,859554,0.0720215
cusparse,stokes64,12546,12546,140034,0.0568848
cusparse,sparsine,50000,50000,1548988,0.0891113
cusparse,helm2d03,392257,392257,2741935,0.10498
cusparse,c-68,64810,64810,566006,0.0649414
cusparse,a0nsdsil,80016,80016,355034,0.0620117
cusparse,olesnik0,88263,88263,744216,0.0688477
cusparse,tuma2,12992,12992,49365,0.0510254
cusparse,spmsrtls,29995,29995,229947,0.059082
cusparse,c-72,84064,84064,707558,0.0700684
cusparse,k1_san,67759,67759,559774,0.0661621
cusparse,c-59,41282,41282,480536,0.060791
cusparse,turon_m,189924,189924,1690876,0.0852051
cusparse,laser,3002,3002,9000,0.0529785
cusparse,bloweya,30004,30004,150009,0.0539551
cusparse,cont-300,180895,180895,988195,0.0810547
cusparse,tuma1,22967,22967,87760,0.0500488
cusparse,a5esindl,60008,60008,255004,0.0588379
cusparse,ncvxqp3,75000,75000,499964,0.0639648
cusparse,ncvxqp9,16554,16554,54040,0.0568848
cusparse,qpband,20000,20000,45000,0.059082
cusparse,linverse,11999,11999,95977,0.052002
cusparse,dixmaanl,60000,60000,299998,0.0598145
cusparse,cvxqp3,17500,17500,122462,0.0549316
cusparse,mario001,38434,38434,206156,0.059082
cusparse,ncvxqp1,12111,12111,73963,0.0581055
cusparse,copter2,55476,55476,759952,0.0639648
cusparse,aug2dc,30200,30200,80000,0.0532227
cusparse,ncvxbqp1,50000,50000,349968,0.0649414
cusparse,bmw3_2,227362,227362,11288630,0.191162
cusparse,aug3d,24300,24300,69984,0.0539551
cusparse,boyd1,93279,93279,1211231,0.078125
cusparse,c-69,67458,67458,623970,0.0678711
cusparse,c-63,44234,44234,434704,0.060791
cusparse,d_pretok,182730,182730,1641672,0.0881348
cusparse,bloweybq,10001,10001,69991,0.0571289
cusparse,c-70,68924,68924,658986,0.0690918
cusparse,mario002,389874,389874,2101242,0.103027
cusparse,bratu3d,27792,27792,173796,0.0559082
cusparse,blockqp1,60012,60012,640033,0.0620117
cusparse,darcy003,389874,389874,2101242,0.102051
cusparse,c-55,32780,32780,403450,0.0578613
cusparse,brainpc2,27607,27607,179395,0.0551758
cusparse,a2nnsnsl,80016,80016,347222,0.0620117
cusparse,c-58,37595,37595,552557,0.0639648
cusparse,boyd2,466316,466316,1500397,0.0878906
cusparse,dtoc,24993,24993,69972,0.0571289
